episode_id,role,name,credit_order,person_id
2,director,Ron Satlof,1,174
2,writer,Robert Janes,1,175
3,director,Ron Satlof,1,174
3,writer,Robert Janes,1,175
4,director,Michael Caffey,1,
4,writer,Dick Nelson,1,
4,writer,Robert Janes,2,175
5,director,Fernando Lamas,1,
5,writer,John W. Bloch,1,
6,director,Dennis Donnelly,1,
6,writer,Duke Sandefur,1,
7,director,Cliff Bole,1,
7,writer,Gregory S. Dinallo,1,
7,writer,Bruce Kalish,2,
7,writer,Philip John Taylor,3,
8,director,Larry Stewart,1,
8,writer,Howard Dimsdale,1,
9,director,Tom Blank,1,
9,writer,Brian McKay,1,
9,writer,Gregory S. Dinallo,2,
10,director,Don McDougall,1,181
10,writer,Michael Michaelian,1,
11,director,Tony Ganz,1,
11,writer,Howard Dimsdale,1,
12,director,Joseph Manduke,1,
12,writer,Stephen Kandel,1,
13,director,Don McDougall,1,181
13,writer,Lionel E. Siegel,1,182
14,director,Don McDougall,1,181
14,writer,Lionel E. Siegel,1,182
15,writer,Michael Reaves,1,
16,writer,Michael Reaves,1,
17,writer,Brynne Chandler Reaves,1,
18,writer,Steve Perry,1,
19,writer,Roger Slifer,1,
20,writer,Diane Duane,1,
20,writer,Peter Morwood,2,
21,writer,Larry Brody,1,
21,writer,Robert Gregory Browne,2,
22,writer,Robert Gregory Browne,1,
22,writer,Larry Brody,2,
23,writer,Robert Gregory Browne,1,
23,writer,Larry Brody,2,
24,writer,Mark Hoffmeier,1,525
24,writer,Larry Brody,2,
25,writer,Robert Gregory Browne,1,
25,writer,Larry Brody,2,
26,writer,Robert Gregory Browne,1,
26,writer,Larry Brody,2,
27,writer,Robert Gregory Browne,1,
27,writer,Larry Brody,2,
28,director,Tim Eldred,1,
28,writer,Morgan Gendel,1,370
29,director,Vincent Edwards,1,
29,writer,Rick Suvalle,1,
30,director,Audu Paden,1,
30,writer,Greg Johnson,1,
31,director,Brandon Vietti,1,
31,writer,Todd Felderstein,1,
31,writer,Morgan Gendel,2,370
32,director,Alan Caldwell,1,
32,writer,Marsha Griffin,1,371
33,director,Vincent Edwards,1,
33,writer,Morgan Gendel,1,370
34,director,Brandon Vietti,1,
34,writer,Tracey Forbes,1,
35,director,Audu Paden,1,
35,writer,Brian Michael Bendis,1,369
35,writer,Morgan Gendel,2,370
35,writer,Marsha Griffin,3,371
36,director,Tim Eldred,1,
36,writer,Whip Lipsey,1,
36,writer,Scott Lipsey,2,
37,director,Alan Caldwell,1,
37,writer,Morgan Gendel,1,370
37,writer,Rick Suvalle,2,
38,director,Vincent Edwards,1,
38,writer,Morgan Gendel,1,370
39,director,Alan Caldwell,1,
39,director,Vincent Edwards,2,
39,director,Audu Paden,3,
39,writer,Morgan Gendel,1,370
40,director,Tim Eldred,1,
40,director,Brandon Vietti,2,
40,writer,Steven Kriozere,1,
41,director,Mel Zwyer,1,403
41,writer,Jeff Trammell,1,402
42,director,Liza Singer,1,404
42,writer,Charlie Neuner,1,
43,director,Stu Livingston,1,405
43,writer,Jeff Trammell,1,402
44,director,Liza Singer,1,404
44,writer,Charlie Neuner,1,
45,director,Stu Livingston,1,405
45,writer,Jeff Trammell,1,402
46,director,Liza Singer,1,404
46,writer,Charlie Neuner,1,
47,director,Stu Livingston,1,405
47,writer,Raven Koné,1,
48,director,Liza Singer,1,404
48,writer,Charlie Neuner,1,
49,director,Liza Singer,1,404
49,writer,Jeff Trammell,1,402
50,director,Stu Livingston,1,405
50,writer,Charlie Neuner,1,
50,writer,Jeff Trammell,2,402
131,director,Kōichi Takemoto,1,187
131,writer,Shōzō Uehara,1,329
132,director,Kōichi Takemoto,1,187
132,writer,Susumu Takaku,1,188
133,director,Katsuhiko Taguchi,1,
133,writer,Susumu Takaku,1,188
134,director,Katsuhiko Taguchi,1,
134,writer,Shōzō Uehara,1,329
135,director,Kōichi Takemoto,1,187
135,writer,Susumu Takaku,1,188
136,director,Kōichi Takemoto,1,187
136,writer,Shōzō Uehara,1,329
137,director,Katsuhiko Taguchi,1,
137,writer,Shōzō Uehara,1,329
138,director,Katsuhiko Taguchi,1,
138,writer,Susumu Takaku,1,188
139,director,Takaharu Saeki,1,
139,writer,Shōzō Uehara,1,329
140,director,Takaharu Saeki,1,
140,writer,Shōzō Uehara,1,329
141,director,Kōichi Takemoto,1,187
